GameID,WinnerName,LoserName,WinnerRacks,LoserRacks,Round,Date
1,Casper Matikainen,Joshua Filler,11,7,Round of 64,13-Dec-19
2,Yip Kin Ling,John Morra,11,5,Round of 64,13-Dec-19
3,Albin Ouschan,Lin Ta Li,11,5,Round of 64,13-Dec-19
4,Denis Grabe,Marc Bijsterbosch,11,8,Round of 64,13-Dec-19
5,Jung-Lin Chang,Dang Jinhu,11,9,Round of 64,13-Dec-19
6,Mieszko Fortunski,Thorsten Hohmann,11,8,Round of 64,13-Dec-19
7,Francisco Sanchez-Ruiz,Konrad Juszczyszyn,11,6,Round of 64,13-Dec-19
8,Xu Xiaocong,Wu Jiaqing,11,5,Round of 64,13-Dec-19
9,Alex Kazakis,Radoslaw Babica,11,8,Round of 64,13-Dec-19
10,Liu Haitao,Jalal Al Sarisi,11,9,Round of 64,13-Dec-19
11,Naoyuki Oi,Petri Makkonen,11,7,Round of 64,13-Dec-19
12,Johann Chua,Enrique Rojas,11,5,Round of 64,13-Dec-19
13,Alex Pagulayan,Karol Skowerski,11,3,Round of 64,13-Dec-19
14,Chang Yu Lung,Masato Yoshioka,11,9,Round of 64,13-Dec-19
15,Billy Thorpe,Kong Dejing,11,6,Round of 64,13-Dec-19
16,Carlo Biado,Bashar Abdulmajeed,11,10,Round of 64,13-Dec-19
17,Chung Ko Ping,Oliver Szolnoki,11,11,Round of 64,13-Dec-19
18,Lin Wu Kun,Giallourakis Damianos,11,7,Round of 64,13-Dec-19
19,Maximilian Lechner,Pijus Labutis,11,4,Round of 64,13-Dec-19
20,Ruslan Chinakhov,Corey Deuel,11,3,Round of 64,13-Dec-19
21,Chris Melling,Mohammad Berjaoui,11,7,Round of 64,13-Dec-19
22,Do The Kien,David Alcaide,11,5,Round of 64,13-Dec-19
23,Wojciech Szewczyk,Jang Moonseok,11,6,Round of 64,13-Dec-19
24,Waleed Majid,Ralf Souquet,11,10,Round of 64,13-Dec-19
25,Pin Yi Ko,Akagariyama Yukio,11,5,Round of 64,13-Dec-19
26,Jeffrey Ignacio,Stephen Holem,11,6,Round of 64,13-Dec-19
27,Aloysius Yapp,Xue Zhenqi,11,9,Round of 64,13-Dec-19
28,Darren Appleton,Eklent Kaci,11,6,Round of 64,13-Dec-19
29,Fedor Gorst,Jakub Koniar,11,8,Round of 64,13-Dec-19
30,Yu-Hsuan Cheng,Tomasz Kaplan,11,10,Round of 64,13-Dec-19
31,Mateusz Śniegocki,Ivar Saris,11,7,Round of 64,13-Dec-19
32,Liu Ri Teng,Shane Van Boening,11,8,Round of 64,13-Dec-19
33,Casper Matikainen,Yip Kin Ling,11,8,Round of 32,14-Dec-19
34,Albin Ouschan,Denis Grabe,11,8,Round of 32,14-Dec-19
35,Jung-Lin Chang,Mieszko Fortunski,11,5,Round of 32,14-Dec-19
36,Francisco Sanchez-Ruiz,Xu Xiaocong,11,5,Round of 32,14-Dec-19
37,Liu Haitao,Alex Kazakis,11,9,Round of 32,14-Dec-19
38,Naoyuki Oi,Johann Chua,11,6,Round of 32,14-Dec-19
39,Alex Pagulayan,Chang Yu Lung,11,7,Round of 32,14-Dec-19
40,Billy Thorpe,Carlo Biado,11,10,Round of 32,14-Dec-19
41,Chung Ko Ping,Lin Wu Kun,11,8,Round of 32,14-Dec-19
42,Ruslan Chinakhov,Maximilian Lechner,11,8,Round of 32,14-Dec-19
43,Do The Kien,Chris Melling,11,7,Round of 32,14-Dec-19
44,Waleed Majid,Wojciech Szewczyk,11,10,Round of 32,14-Dec-19
45,Pin Yi Ko,Jeffrey Ignacio,11,9,Round of 32,14-Dec-19
46,Aloysius Yapp,Darren Appleton,11,5,Round of 32,14-Dec-19
47,Fedor Gorst,Yu-Hsuan Cheng,11,7,Round of 32,14-Dec-19
48,Mateusz Śniegocki,Liu Ri Teng,11,7,Round of 32,14-Dec-19
49,Casper Matikainen,Albin Ouschan,11,6,Round of 16,15-Dec-19
50,Jung-Lin Chang,Francisco Sanchez-Ruiz,11,7,Round of 16,15-Dec-19
51,Liu Haitao,Naoyuki Oi,11,9,Round of 16,15-Dec-19
52,Alex Pagulayan,Billy Thorpe,11,9,Round of 16,15-Dec-19
53,Chung Ko Ping,Ruslan Chinakhov,11,4,Round of 16,15-Dec-19
54,Do The Kien,Waleed Majid,11,8,Round of 16,15-Dec-19
55,Pin Yi Ko,Aloysius Yapp,11,9,Round of 16,15-Dec-19
56,Fedor Gorst,Mateusz Śniegocki,11,10,Round of 16,15-Dec-19
57,Jung-Lin Chang,Casper Matikainen,11,10,Round of 8,16-Dec-19
58,Liu Haitao,Alex Pagulayan,11,8,Round of 8,16-Dec-19
59,Chung Ko Ping,Do The Kien,11,6,Round of 8,16-Dec-19
60,Fedor Gorst,Pin Yi Ko,11,6,Round of 8,16-Dec-19
61,Jung-Lin Chang,Liu Haitao,11,6,Semi-Final,17-Dec-19
62,Fedor Gorst,Chung Ko Ping,11,7,Semi-Final,17-Dec-19
63,Fedor Gorst,Jung-Lin Chang,13,11,Final,18-Dec-19
